timestamp_us,raw,moving_average,iir
28004891,1913.0,1910.8,1911.2
28006890,1901.0,1910.0,1908.2
28008891,1904.0,1906.2,1906.9
28010890,1906.0,1906.8,1906.6
28012891,1904.0,1905.6,1905.8
28014890,1893.0,1901.6,1902.0
28016891,1901.0,1901.6,1901.7
28018890,1893.0,1899.4,1899.1
28020891,1897.0,1897.6,1898.5
28022890,1898.0,1896.4,1898.3
28024891,1897.0,1897.2,1897.9
28026890,1901.0,1897.2,1898.8
28028891,1902.0,1899.0,1899.8
28030890,1893.0,1898.2,1897.8
28032891,1899.0,1898.4,1898.1
28034890,1899.0,1898.8,1898.4
28036891,1889.0,1896.4,1895.6
28038890,1892.0,1894.4,1894.5
28040891,1893.0,1894.4,1894.1
28042890,1898.0,1894.2,1895.2
28044891,1895.0,1893.4,1895.2
28046890,1904.0,1896.4,1897.8
28048891,1881.0,1894.2,1892.8
28050890,1921.0,1899.8,1901.2
28052891,1886.0,1897.4,1896.7
28054890,1904.0,1899.2,1898.9
28056891,1886.0,1895.6,1895.0
28058891,1893.0,1898.0,1894.4
28060891,1894.0,1892.6,1894.3
28062890,1895.0,1894.4,1894.5
28064891,1925.0,1898.6,1903.6
28066890,1902.0,1901.8,1903.2
28068891,1902.0,1903.6,1902.8
28070890,1899.0,1904.6,1901.7
28072891,1904.0,1906.4,1902.4
28074890,1898.0,1901.0,1901.1
28076891,1900.0,1900.6,1900.7
28078891,1898.0,1899.8,1899.9
28080891,1899.0,1899.8,1899.6
28082890,1903.0,1899.6,1900.6
28084891,1951.0,1910.2,1915.8
28086890,1902.0,1910.6,1911.6
28088891,1904.0,1911.8,1909.3
28090890,1914.0,1914.8,1910.7
28092891,2007.0,1935.6,1939.6
28094890,1901.0,1925.6,1928.0
28096891,1914.0,1928.0,1923.8
28098890,1907.0,1928.6,1918.8
28100891,1913.0,1928.4,1917.0
28102890,1904.0,1907.8,1913.1
28104891,1813.0,1890.2,1883.1
28106890,1888.0,1885.0,1884.6
28108892,1905.0,1884.6,1890.7
28110890,1912.0,1884.4,1897.1
28112891,1909.0,1885.4,1900.7
28114890,1970.0,1916.8,1921.5
28116892,1895.0,1918.2,1913.5
28118890,1914.0,1920.0,1913.7
28120891,1901.0,1917.8,1909.9
28122890,1895.0,1915.0,1905.4
28124891,1945.0,1910.0,1917.3
28126890,1897.0,1910.4,1911.2
28128891,1897.0,1907.0,1906.9
28130890,1920.0,1910.8,1910.9
28132891,1910.0,1913.8,1910.6
28134890,1910.0,1906.8,1910.4
28136891,1871.0,1901.6,1898.6
28138890,1898.0,1901.8,1898.4
28140891,1904.0,1898.6,1900.1
28142890,1900.0,1896.6,1900.1
28144891,1891.0,1892.8,1897.3
28146890,1898.0,1898.2,1897.5
28148891,1894.0,1897.4,1896.5
